field_name,korean_meaning,entity,data_type,current_source,current_coverage,null_unknown_allowed,search_filter,ui_candidate,future_collect,group,notes
place.phone,서비스 전화번호,Place,Text,KTO tel,26/2126,예,아니오,예,예,B,KTO coverage 1.2%
place.instagramUrl,Instagram 또는 SNS,Place,Url,없음,0/2126,예,아니오,예,예,C,일반 SNS URL 확장 가능
place.primaryImageUrl,대표 이미지,Place,Url,KTO firstimage,1910/2126,예,아니오,예,예,B,외부 URL 생존 여부 미검증
place.secondaryImageUrl,보조 이미지,Place,Url,KTO firstimage2,1910/2126,예,아니오,예,예,B,firstimage와 같은 경우 64건
place.tags,서비스 태그,Place,Text[],없음,0/2126,예,예,예,예,C,KTO cat와 별도
place.recommendedPoints,추천 포인트,Place,Text[],없음,0/2126,예,아니오,예,예,C,앱 UX 보존
place.cautionNotes,주의사항,Place,Text[],없음,0/2126,예,아니오,예,예,C,KTO 위험 원문 자동 변환 금지
place.placeGroupId,향후 동일 장소 그룹,Place,Id,없음,0/2126,예,예,아니오,예,D,자동 병합하지 않음
place.parentPlaceId,향후 상위 장소,Place,Id,없음,0/2126,예,예,아니오,예,D,복합시설 관계용
place.relatedPlaceIds,향후 연관 장소 목록,Place,Id[],없음,0/2126,예,아니오,아니오,예,D,검증된 관계만 기록
place.publicationStatus,서비스 공개 상태,Place,Enum,없음,0/2126,아니오,예,아니오,예,D,DRAFT PUBLISHED HIDDEN
place.extraAttributes,제한적 확장 속성,Place,Map,없음,0/2126,예,아니오,조건부,예,C,검색 핵심 필드를 넣지 않음
placeSource.kto.contentId,KTO 콘텐츠 ID,PlaceSourceRecord,SourceId,KTO areaBasedList2,2126/2126,아니오,예,아니오,아니오,A,문자열 저장 및 KTO 내 unique
placeSource.kto.title,KTO 원문 제목,PlaceSourceRecord,Text,KTO areaBasedList2,2126/2126,아니오,예,아니오,아니오,A,title과 주소 및 좌표는 unique key가 아님
placeSource.kto.addr1,KTO 주소,PlaceSourceRecord,Text,KTO areaBasedList2,2126/2126,아니오,예,아니오,아니오,A,원문 의미 보존
placeSource.kto.addr2,KTO 상세주소,PlaceSourceRecord,Text,KTO areaBasedList2,422/2126,예,예,아니오,아니오,B,19.8%
placeSource.kto.areaCode,KTO 레거시 지역코드,PlaceSourceRecord,Text,KTO areaBasedList2,913/2126,예,예,아니오,아니오,B,값 39이며 lDong 코드와 별도
placeSource.kto.cat1,KTO 기존 대분류 코드,PlaceSourceRecord,Text,KTO areaBasedList2,914/2126,예,예,조건부,아니오,B,43.0%
placeSource.kto.cat2,KTO 기존 중분류 코드,PlaceSourceRecord,Text,KTO areaBasedList2,914/2126,예,예,조건부,아니오,B,43.0%
placeSource.kto.cat3,KTO 기존 소분류 코드,PlaceSourceRecord,Text,KTO areaBasedList2,914/2126,예,예,조건부,아니오,B,43.0%
placeSource.kto.contentTypeId,KTO 콘텐츠 유형 ID,PlaceSourceRecord,Text,KTO areaBasedList2,2126/2126,아니오,예,예,아니오,A,12 14 15 28 32 38 39이며 25는 0건
placeSource.kto.contentTypeName,collector가 붙인 유형 한글명,PlaceSourceRecord,Text,collector,2126/2126,아니오,예,예,아니오,A,코드 표시명이며 서비스 카테고리가 아님
placeSource.kto.copyrightDivisionCode,이미지 저작권 구분,PlaceSourceRecord,Text,KTO areaBasedList2,1910/2126,예,예,조건부,아니오,B,Type1 422 Type3 1488 및 공백 216
placeSource.kto.createdTime,KTO 등록 시각,PlaceSourceRecord,Instant,KTO areaBasedList2,2126/2126,아니오,아니오,아니오,아니오,A,YYYYMMDDHHMMSS 파싱
placeSource.kto.firstImage,첫 번째 이미지 URL,PlaceSourceRecord,Url,KTO areaBasedList2,1910/2126,예,아니오,조건부,아니오,B,원천 URL 보존
placeSource.kto.firstImage2,두 번째 이미지 URL,PlaceSourceRecord,Url,KTO areaBasedList2,1910/2126,예,아니오,조건부,아니오,B,원천 URL 보존
placeSource.kto.lDongRegnCd,법정동 시도코드,PlaceSourceRecord,Text,KTO areaBasedList2,2126/2126,아니오,예,아니오,아니오,A,제주 50
placeSource.kto.lDongSignguCd,법정동 시군구코드,PlaceSourceRecord,Text,KTO areaBasedList2,2126/2126,아니오,예,조건부,아니오,A,110 1262건과 130 864건
placeSource.kto.lclsSystm1,KTO 분류체계 1단계,PlaceSourceRecord,Text,KTO raw JSON,2126/2126,아니오,예,조건부,아니오,A,CSV flatten에는 없으나 raw 100%
placeSource.kto.lclsSystm2,KTO 분류체계 2단계,PlaceSourceRecord,Text,KTO raw JSON,2126/2126,아니오,예,조건부,아니오,A,raw 100%
placeSource.kto.lclsSystm3,KTO 분류체계 3단계,PlaceSourceRecord,Text,KTO raw JSON,2126/2126,아니오,예,조건부,아니오,A,raw 100%이며 쇼핑 Pet 275건은 SH040300
placeSource.kto.mapx,KTO 경도 원문,PlaceSourceRecord,Decimal,KTO areaBasedList2,2126/2126,아니오,아니오,아니오,아니오,A,영주산 12.79737228191 보존
placeSource.kto.mapy,KTO 위도 원문,PlaceSourceRecord,Decimal,KTO areaBasedList2,2126/2126,아니오,아니오,아니오,아니오,A,원천값 보존
placeSource.kto.mapLevel,KTO 지도 축척 레벨,PlaceSourceRecord,Integer,KTO raw JSON,1880/2126,예,아니오,아니오,아니오,B,88.4%
placeSource.kto.modifiedTime,KTO 수정 시각,PlaceSourceRecord,Instant,KTO areaBasedList2,2126/2126,아니오,아니오,조건부,아니오,A,영업 여부를 뜻하지 않음
placeSource.kto.sigunguCode,KTO 레거시 시군구코드,PlaceSourceRecord,Text,KTO areaBasedList2,910/2126,예,예,아니오,아니오,B,42.8%
placeSource.kto.tel,KTO 전화번호 원문,PlaceSourceRecord,Text,KTO areaBasedList2,26/2126,예,아니오,조건부,아니오,B,1.2%
placeSource.kto.zipcode,KTO 우편번호,PlaceSourceRecord,Text,KTO areaBasedList2,2115/2126,예,예,조건부,아니오,B,99.5%이며 문자열로 보존
placeSource.kto.pet.acmpyTypeCd,KTO 동반 유형 라벨,PlaceSourceRecord,Text,KTO detailPetTour2,330/2126,예,예,예,예,B,330 기준 330/330이며 전구역 또는 일부구역
placeSource.kto.pet.acmpyNeedMtr,KTO 동반 필요사항,PlaceSourceRecord,Text,KTO detailPetTour2,51/2126,예,조건부,예,예,B,330 기준 51/330
placeSource.kto.pet.acmpyPsblCpam,KTO 동반 가능 규모 조건,PlaceSourceRecord,Text,KTO detailPetTour2,53/2126,예,조건부,예,예,B,330 기준 53/330
placeSource.kto.pet.etcAcmpyInfo,KTO 기타 동반 정보,PlaceSourceRecord,Text,KTO detailPetTour2,50/2126,예,아니오,예,예,B,330 기준 50/330
placeSource.kto.pet.relaAcdntRiskMtr,KTO 사고 대비 위험 원문,PlaceSourceRecord,Text,KTO detailPetTour2,34/2126,예,아니오,조건부,예,B,330 기준 34/330이며 체중 제한도 섞임
placeSource.kto.pet.relaFrnshPrdlst,KTO 비치 물품 원문,PlaceSourceRecord,Text,KTO detailPetTour2,2/2126,예,아니오,조건부,예,B,330 기준 2/330
placeSource.kto.pet.relaPosesFclty,KTO 구비 시설 원문,PlaceSourceRecord,Text,KTO detailPetTour2,2/2126,예,아니오,조건부,예,B,330 기준 2/330
placeSource.kto.pet.relaPurcPrdlst,KTO 구매 가능 물품 원문,PlaceSourceRecord,Text,KTO detailPetTour2,2/2126,예,아니오,조건부,예,B,330 기준 2/330
placeSource.kto.pet.relaRntlPrdlst,KTO 대여 물품 원문,PlaceSourceRecord,Text,KTO detailPetTour2,1/2126,예,아니오,조건부,예,B,330 기준 1/330
placeSource.collector.hasPetJoin,KTO Pet JOIN 교집합 여부,PlaceSourceRecord,Enum,collector,2126/2126,아니오,예,아니오,아니오,A,Y 330과 N 1796이며 N은 불가가 아님
placeSource.collector.sourceLabel,collector 출처 라벨,PlaceSourceRecord,Text,collector,2126/2126,아니오,아니오,아니오,아니오,A,현재 areaBasedList2
referenceRegion.code,법정동 지역 코드,RegionCodeReference,Text,KTO ldongCode2,18/18,아니오,예,아니오,아니오,A,제주 하위 코드는 110과 130
referenceRegion.name,법정동 지역 이름,RegionCodeReference,Text,KTO ldongCode2,18/18,아니오,예,아니오,아니오,A,코드 표시용
referenceRegion.rnum,지역 코드 응답 순번,RegionCodeReference,Integer,KTO ldongCode2,18/18,아니오,아니오,아니오,아니오,A,업무 식별자로 사용하지 않음
ingestAlias.pet_acmpyTypeCd,JOIN CSV 동반 유형 별칭,ImportMapping,Text,jeju_pet_join.csv,330/2126,예,아니오,아니오,아니오,ALIAS,원본 acmpyTypeCd로 매핑하며 중복 저장하지 않음 | 스키마 저장 필드 아님. Owner 집계에서 제외
ingestAlias.pet_acmpyNeedMtr,JOIN CSV 필요사항 별칭,ImportMapping,Text,jeju_pet_join.csv,51/2126,예,아니오,아니오,아니오,ALIAS,원본 acmpyNeedMtr로 매핑하며 중복 저장하지 않음 | 스키마 저장 필드 아님. Owner 집계에서 제외
ingestAlias.pet_acmpyPsblCpam,JOIN CSV 규모 조건 별칭,ImportMapping,Text,jeju_pet_join.csv,53/2126,예,아니오,아니오,아니오,ALIAS,원본 acmpyPsblCpam으로 매핑 | 스키마 저장 필드 아님. Owner 집계에서 제외
ingestAlias.pet_etcAcmpyInfo,JOIN CSV 기타 정보 별칭,ImportMapping,Text,jeju_pet_join.csv,50/2126,예,아니오,아니오,아니오,ALIAS,원본 etcAcmpyInfo로 매핑 | 스키마 저장 필드 아님. Owner 집계에서 제외
ingestAlias.pet_relaAcdntRiskMtr,JOIN CSV 위험 정보 별칭,ImportMapping,Text,jeju_pet_join.csv,34/2126,예,아니오,아니오,아니오,ALIAS,원본 relaAcdntRiskMtr로 매핑 | 스키마 저장 필드 아님. Owner 집계에서 제외
ingestAlias.pet_relaFrnshPrdlst,JOIN CSV 비치 물품 별칭,ImportMapping,Text,jeju_pet_join.csv,2/2126,예,아니오,아니오,아니오,ALIAS,원본 relaFrnshPrdlst로 매핑 | 스키마 저장 필드 아님. Owner 집계에서 제외
ingestAlias.pet_relaPosesFclty,JOIN CSV 시설 별칭,ImportMapping,Text,jeju_pet_join.csv,2/2126,예,아니오,아니오,아니오,ALIAS,원본 relaPosesFclty로 매핑 | 스키마 저장 필드 아님. Owner 집계에서 제외
ingestAlias.pet_relaPurcPrdlst,JOIN CSV 구매 물품 별칭,ImportMapping,Text,jeju_pet_join.csv,2/2126,예,아니오,아니오,아니오,ALIAS,원본 relaPurcPrdlst로 매핑 | 스키마 저장 필드 아님. Owner 집계에서 제외
ingestAlias.pet_relaRntlPrdlst,JOIN CSV 대여 물품 별칭,ImportMapping,Text,jeju_pet_join.csv,1/2126,예,아니오,아니오,아니오,ALIAS,원본 relaRntlPrdlst로 매핑 | 스키마 저장 필드 아님. Owner 집계에서 제외
petPolicy.petInformationStatus,KTO Pet 정보 존재 상태,PetPolicy,PetInformationStatus,collector has_pet,330 overlay + 1796 default UNKNOWN,아니오,예,예,예,A,"Y는 KTO_OVERLAY_FOUND, N 또는 PetPolicy 부재는 UNKNOWN. 2126행 모두 해석 가능하나 레코드는 0..1"
petPolicy.petAcceptance,서비스 동반 허용 상태,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,KTO JOIN N을 FALSE로 변환 금지
petPolicy.allowedBreeds,허용 견종 또는 제외 견종,PetPolicy,Text[],없음,0/2126,예,예,예,예,C,KTO 자유문을 자동 구조화하지 않음
petPolicy.allowedSizes,허용 체급 목록,PetPolicy,Enum[],없음,0/2126,예,예,예,예,C,빈 배열을 불가 의미로 사용하지 않음
petPolicy.smallDogAllowed,소형견 가능,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
petPolicy.mediumDogAllowed,중형견 가능,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
petPolicy.largeDogAllowed,대형견 가능,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
petPolicy.sizeDescription,크기 체중 제한 설명,PetPolicy,Text,없음,0/2126,예,아니오,예,예,C,검증된 서비스 설명
petPolicy.indoorAllowed,실내 동반 가능,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,acmpyTypeCd에서 추론 금지
petPolicy.outdoorAllowed,야외 동반 가능,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,acmpyTypeCd에서 추론 금지
petPolicy.carrierRequired,이동장 필요,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
petPolicy.spacePolicy,공간 이용 정책,PetPolicy,Enum,없음,0/2126,예,예,예,예,C,전구역 일부구역 라벨과 별도
petPolicy.spaceDescription,공간 이용 상세 설명,PetPolicy,Text,없음,0/2126,예,아니오,예,예,C,층별 테라스 등 검증 정보
petPolicy.leashRequired,목줄 필요,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,KTO 원문 51건은 검토 근거일 뿐 자동 확정 금지
petPolicy.leashDescription,목줄 상세 설명,PetPolicy,Text,없음,0/2126,예,아니오,예,예,C,길이 등 향후 수집
petPolicy.offLeashZoneAvailable,오프리쉬 구역 존재,PetPolicy,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
petPolicy.petFee,반려견 입장료,PetPolicy,MoneyKRW,없음,0/2126,예,예,예,예,C,0은 무료이고 null은 모름
petPolicy.petFeeDescription,반려견 요금 설명,PetPolicy,Text,없음,0/2126,예,아니오,예,예,C,마리별 숙박별 조건
petPolicy.otherPetPolicy,기타 반려견 정책,PetPolicy,Text,없음,0/2126,예,아니오,예,예,C,앱 필수 보존
amenities.freeParking,무료 주차,AmenityProfile,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
amenities.parkingDescription,주차 상세 설명,AmenityProfile,Text,없음,0/2126,예,아니오,예,예,C,Place parkingInfo와 표시 시 조정
amenities.dogMenu,반려견 메뉴,AmenityProfile,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
amenities.waterBowlProvided,물그릇 제공,AmenityProfile,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
amenities.wasteBagsProvided,배변봉투 제공,AmenityProfile,TriState,없음,0/2126,아니오,예,예,예,C,KTO 배변 언급을 제공으로 오인 금지
amenities.fencedYard,펜스 운동장,AmenityProfile,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
amenities.photoZone,포토존,AmenityProfile,TriState,없음,0/2126,아니오,예,예,예,C,UNKNOWN 기본
event.eventType,이벤트 또는 배너 유형,EventBanner,Enum,없음,0건,예,예,아니오,예,C,장소와 별도 Entity
event.badge,배너 배지,EventBanner,Text,없음,0건,예,아니오,예,예,C,앱 EventBanner 보존
event.title,이벤트 제목,EventBanner,Text,없음,0건,아니오,예,예,예,C,필수
event.subtitle,이벤트 부제,EventBanner,Text,없음,0건,예,아니오,예,예,C,선택
event.imageUrl,이벤트 이미지,EventBanner,Url,없음,0건,예,아니오,예,예,C,장소 이미지와 분리
event.startAt,이벤트 시작 시각,EventBanner,Instant,없음,0건,예,예,예,예,C,기간 필터
event.endAt,이벤트 종료 시각,EventBanner,Instant,없음,0건,예,예,예,예,C,기간 필터
event.dateText,이벤트 기간 자유 텍스트,EventBanner,Text,없음,0건,예,아니오,예,예,C,앱 EventBanner.date 보존. 상시 운영처럼 Instant로 담을 수 없는 값용. startAt/endAt과 병행
event.locationText,이벤트 위치 문구,EventBanner,Text,없음,0건,예,예,예,예,C,장소 연결 없이도 허용
event.tag,이벤트 태그,EventBanner,Text,없음,0건,예,예,예,예,C,선택
event.linkUrl,이벤트 링크,EventBanner,Url,없음,0건,예,아니오,예,예,C,외부 링크
event.linkText,이벤트 링크 문구,EventBanner,Text,없음,0건,예,아니오,예,예,C,앱 EventBanner 보존
event.relatedPlaceIds,연관 장소 ID,EventBanner,Id[],없음,0건,예,예,아니오,예,D,선택적 N대M
event.displayOrder,배너 노출 순서,EventBanner,Integer,없음,0건,예,예,아니오,예,D,관리용
event.publicationStatus,이벤트 공개 상태,EventBanner,Enum,없음,0건,아니오,예,아니오,예,D,예약 공개 가능
user.userId,사용자 ID,User,Id,없음,0명,아니오,아니오,아니오,예,D,향후 로그인 자리만 보존
user.authProviderId,인증 제공자 사용자 ID,User,Text,없음,0명,아니오,아니오,아니오,예,D,구현하지 않음
user.displayName,사용자 표시명,User,Text,없음,0명,예,아니오,조건부,예,C,향후 수집
user.status,사용자 상태,User,Enum,없음,0명,아니오,예,아니오,예,D,구현하지 않음
favorite.userId,찜 사용자 ID,Favorite,Id,없음,0건,아니오,예,아니오,예,D,향후 복합키 일부
favorite.placeId,찜 장소 ID,Favorite,Id,없음,0건,아니오,예,아니오,예,D,향후 복합키 일부
favorite.createdAt,찜 생성 시각,Favorite,Instant,없음,0건,아니오,예,아니오,예,D,구현하지 않음
provenance.source,출처 종류,PlaceSourceRecord,Enum,collector source,2126/2126,아니오,예,조건부,예,D,KTO VISIT_JEJU TEAM_RESEARCH OWNER_INPUT USER_REPORT OTHER_PUBLIC_DATA
provenance.sourceDataset,출처 데이터셋 또는 API,PlaceSourceRecord,Text,collector,2126/2126,아니오,예,아니오,예,D,예 areaBasedList2
provenance.sourceId,출처 내부 ID,PlaceSourceRecord,SourceId,KTO contentId,2126/2126,아니오,예,아니오,예,D,source와 함께 식별
provenance.sourceUpdatedAt,출처 수정 시각,PlaceSourceRecord,Instant,KTO modifiedtime,2126/2126,예,아니오,조건부,예,D,출처에 없으면 null
provenance.importedAt,수입 시각,PlaceSourceRecord,Instant,없음,0/2126,아니오,예,아니오,예,D,실제 Import 때 기록
provenance.verifiedAt,검증 시각,PlaceSourceRecord,Instant,없음,0/2126,예,예,조건부,예,D,미검증이면 null
provenance.verificationStatus,검증 상태,PlaceSourceRecord,VerificationStatus,없음,0/2126,아니오,예,조건부,예,D,UNVERIFIED 기본
provenance.rawReference,원천 레코드 참조,PlaceSourceRecord,Text,private_probe raw,2126/2126,예,아니오,아니오,예,D,원천 파일과 contentId를 추적
provenance.evidenceSourceIds,서비스 필드 근거 목록,Place PetPolicy AmenityProfile,Id[],없음,0/2126,예,아니오,아니오,예,D,검증된 Source Record 참조
provenance.fieldSources,필드별 근거 예외 매핑,Place PetPolicy AmenityProfile,Map,없음,0/2126,예,아니오,아니오,예,D,출처가 섞일 때만 제한 사용
relation.relationStatus,장소 관계 검토 상태,PlaceRelation,RelationStatus,없음,0건,아니오,예,아니오,예,D,SUGGESTED CONFIRMED REJECTED
relation.relationReason,장소 관계 판단 근거,PlaceRelation,Text,없음,0건,예,아니오,아니오,예,D,제목 주소 좌표만으로 확정 금지
relation.reviewedBy,관계 검토자,PlaceRelation,Id,없음,0건,예,예,아니오,예,D,담당자 추적
relation.reviewedAt,관계 검토 시각,PlaceRelation,Instant,없음,0건,예,예,아니오,예,D,검토 전 null
